ID,RECHNERBEZ,DCELINK_ID,SCHWEISSGERAETE_NAME,ORTSNUMMER,WIP,BOLZEN_ID,KAROSSERIE_ID,AUSGANGS_ID,SCHWEISSPROGRAMM_ID,SCHWEISSSTROM_IST,SCHWEISSZEIT_IST,UL_HAUPTSTROM_IST,UL_VORSTROM_IST,HUBHOEHE_IST,HUBHOEHE_SOLL,ABFALLZEIT_IST,ABFALLZEIT_SOLL,DURCHDRINGUNG_IST,SCHWEISSENERGIE_IST
2130446,M050UB93BRT1,1161214,15 UB93 030SWB221,8820,1,22610124,17446774,2,30,1000,36.40000153,28,23.39999962,1.50999999,1.5,10.39999962,10,-0.722000003,1015
2131900,M050UB92BRT2,459713,15 UB92 130SWB521,8817,1,24610052,17446840,1,49,750,30.70000076,24.60000038,20.79999924,1.700000048,1.700000048,10.69999981,9.899999619,-0.986000001,563
2131187,M050UB93BRT1,1161215,15 UB93 030SWB521,8822,1,22610055,17446774,1,61,750,30.20000076,26.39999962,24.20000076,1.49000001,1.5,10.10000038,9.899999619,-0.845000029,600
2130651,M050UB93BRT1,1161216,15 UB93 030SWB121,8819,1,22610078,17446774,1,114,750,31,25,23.60000038,1.49000001,1.5,10.19999981,9.199999809,-0.898000002,585
2131348,M050UB93BRT1,1161218,15 UB93 030SWB421,8821,1,22610333,17446774,1,140,750,30.70000076,27.20000076,23.60000038,1.49000001,1.5,10.69999981,10,-0.986000001,621
2130447,M050UB93BRT1,1161217,15 UB93 030SWB221,8820,1,22610125,17446774,2,33,1000,36.09999847,28.20000076,23.20000076,1.49000001,1.5,10.69999981,10.60000038,-1.003000021,1014
2131188,M050UB93BRT1,1161219,15 UB93 030SWB521,8822,1,22610091,17446774,1,93,750,30.5,25.60000038,23.39999962,1.49000001,1.5,10.19999981,9.699999809,-0.950999975,590
2130652,M050UB93BRT1,1161222,15 UB93 030SWB121,8819,1,22610010,17446774,1,77,750,29.70000076,25,24.20000076,1.49000001,1.5,9.5,9.800000191,-0.791999996,569
2131349,M050UB93BRT1,1161220,15 UB93 030SWB421,8821,1,22610336,17446774,1,156,750,29.89999962,26,23.79999924,1.50999999,1.5,9,9,-0.492000014,592
2130448,M050UB93BRT1,1161221,15 UB93 030SWB221,8820,1,22610194,17446774,1,58,750,29.70000076,26.60000038,23.39999962,1.49000001,1.5,10,10.30000019,-0.879999995,599
2131189,M050UB93BRT1,1161223,15 UB93 030SWB521,8822,1,22610410,17446774,1,310,750,30,25.60000038,23,1.49000001,1.5,10.10000038,10.10000038,-0.967999995,580
2130653,M050UB93BRT1,1161225,15 UB93 030SWB121,8819,1,22610131,17446774,1,53,750,30.20000076,25.79999924,23.39999962,1.49000001,1.5,9.300000191,9.100000381,-0.510999978,592
2131350,M050UB93BRT1,1161224,15 UB93 030SWB421,8821,1,22610338,17446774,1,159,750,30.20000076,25.20000076,23.79999924,1.50999999,1.5,9.5,9.300000191,-0.598999977,578
2130449,M050UB93BRT1,1161226,15 UB93 030SWB221,8820,1,22620173,17446774,1,165,750,29.89999962,25.20000076,23.60000038,1.49000001,1.5,9.600000381,9.600000381,-0.686999977,577
2131190,M050UB93BRT1,1161227,15 UB93 030SWB521,8822,1,22610230,17446774,1,152,750,30,27.60000038,24,1.49000001,1.5,9.699999809,9.699999809,-0.915000021,622
2131351,M050UB93BRT1,1161229,15 UB93 030SWB421,8821,1,22610218,17446774,1,60,750,30.5,25.39999962,23,1.49000001,1.5,10.10000038,9.600000381,-0.898000002,582
2130450,M050UB93BRT1,1161228,15 UB93 030SWB221,8820,1,22620026,17446774,2,102,1000,35.29999924,28.20000076,25.20000076,1.49000001,1.5,10,10.60000038,-0.809000015,1014
2131191,M050UB93BRT1,1161230,15 UB93 030SWB521,8822,1,22610062,17446774,1,77,750,30.70000076,26.39999962,24.60000038,1.50999999,1.5,10.89999962,10.19999981,-1.021000028,608
2131352,M050UB93BRT1,1161231,15 UB93 030SWB421,8821,1,22610235,17446774,1,308,750,30.20000076,24.79999924,23.20000076,1.50999999,1.5,9.199999809,9,-0.510999978,567
2130451,M050UB93BRT1,1161232,15 UB93 030SWB221,8820,1,22620027,17446774,2,105,1000,36.29999924,28.60000038,23.79999924,1.49000001,1.5,11.10000038,10.69999981,-1.003000021,1040
